,Country,Number of Death,lat,lon
152,Mozambique,104,-18.665695,35.529562
153,MS Zaandam,2,,
154,Myanmar,1508,21.913965,95.956223
155,Namibia,135,-22.95764,18.49041
156,Nauru,0,-0.522778,166.931503
157,Nepal,1202,28.394857,84.124008
158,Netherlands,8304,52.132633,5.291266
159,New Caledonia,0,-20.904305,165.618042
160,New Zealand,25,-40.900557,174.885971
161,Nicaragua,158,12.865416,-85.207229
162,Niger,69,17.607789,8.081666
163,Nigeria,1162,9.081999,8.675277
164,Niue,0,-19.054445,-169.867233
165,Norfolk Island,0,-29.040835,167.954712
166,North Korea,0,40.339852,127.510093
167,North Macedonia,1238,41.608635,21.745275
168,Northern Mariana Islands,0,17.33083,145.38469
169,Norway,291,60.472024,8.468946
170,Oman,1326,21.512583,55.923255
171,Pakistan,7092,30.375321,69.345116
172,Palau,0,7.51498,134.58252
173,Palestine,542,31.952162,35.233154
174,Panama,2830,8.537981,-80.782127
175,Papua New Guinea,7,-6.314993,143.95555
176,Paraguay,1543,-23.442503,-58.443832
177,Peru,35067,-9.189967,-75.015152
178,Philippines,7752,12.879721,121.774017
179,Pitcairn,0,-24.703615,-127.439308
180,Poland,9499,51.919438,19.145136
181,Portugal,3181,39.399872,-8.224454
182,Puerto Rico,122,18.220833,-66.590149
183,Qatar,234,25.354826,51.183884
184,Reunion,28,-21.115141,55.536384
185,Romania,8684,45.943161,24.96676
186,Russia,32443,61.52401,105.318756
187,Rwanda,41,-1.940278,29.873888
188,Saint Barthélemy,0,17.9139222,-62.8338521
189,"Saint Helena, Ascension and Tristan da Cunha",0,-24.143474,-10.030696
190,Saint Kitts and Nevis,0,17.357822,-62.782998
191,Saint Lucia,2,13.909444,-60.978893
192,Saint Martin,12,18.075277,-63.060001
193,Saint Pierre and Miquelon,0,46.941936,-56.27111
194,Samoa,0,-13.759029,-172.104629
195,San Marino,45,43.94236,12.457777
196,Sao Tome and Principe,16,0.18636,6.613081
197,Saudi Arabia,5605,23.885942,45.079162
198,Senegal,326,14.497401,-14.452362
199,Serbia,955,44.016521,21.005859
200,Seychelles,0,-4.679574,55.491977
201,Sierra Leone,74,8.460555,-11.779889
202,Singapore,28,1.352083,103.819836
203,Sint Maarten,23,18.0347188,-63.0681114
204,Slovakia,491,48.669026,19.699024
205,Slovenia,724,46.151241,14.995463
206,Solomon Islands,0,-9.64571,160.156194
207,Somalia,107,5.152149,46.199616
208,South Africa,20076,-30.559482,22.937506
209,South Georgia and the South Sandwich Islands,0,-54.429579,-36.587909
210,South Korea,488,35.907757,127.766922
211,South Sudan,59,7.8626845,29.6949232
212,Spain,40461,40.463667,-3.74922
213,Sri Lanka,48,7.873054,80.771797
214,St. Vincent Grenadines,0,12.984305,-61.287228
215,Sudan,1116,12.862807,30.217636
216,Suriname,114,3.919305,-56.027783
217,Svalbard and Jan Mayen,0,77.553604,23.670272
218,Sweden,6122,60.128161,18.643501
219,Switzerland,3235,46.818188,8.227512
220,Syria,333,34.802075,38.996815
221,Taiwan,7,23.69781,120.960515
222,Tajikistan,84,38.861034,71.276093
223,Tanzania,21,-6.369028,34.888822
224,Thailand,60,15.870032,100.992541
225,Timor-Leste,0,-8.874217,125.727539
226,Togo,60,8.619543,0.824782
227,Tokelau,0,-8.967363,-171.855881
228,Tonga,0,-21.178986,-175.198242
229,Trinidad and Tobago,111,10.691803,-61.222503
230,Tunisia,2151,33.886917,9.537499
231,Turkey,11233,38.963745,35.243322
232,Turkmenistan,0,38.969719,59.556278
233,Turks and Caicos,6,21.694025,-71.797928
234,Tuvalu,0,-7.109535,177.64933
235,U.S. Virgin Islands,6,18.335765,-64.896335
236,UAE,528,23.424076,53.847818
237,Uganda,143,1.373333,32.290275
238,UK,50928,55.378051,-3.435973
239,Ukraine,9317,48.379433,31.16558
240,United States Minor Outlying Islands,0,19.295374,166.6280441
241,Uruguay,63,-32.522779,-55.765835
242,USA,248585,37.09024,-95.712891
243,Uzbekistan,594,41.377491,64.585262
244,Vanuatu,0,-15.376706,166.959158
245,Vatican City,0,41.902916,12.453389
246,Venezuela,841,6.42375,-66.58973
247,Vietnam,35,14.058324,108.277199
248,Wallis and Futuna,0,-13.768752,-177.156097
249,Western Sahara,1,24.215527,-12.885834
250,Yemen,605,15.552727,48.516388
251,Zambia,350,-13.133897,27.849332
252,Zimbabwe,255,-19.015438,29.154857
