,Country,Number of Death,lat,lon,index,CODE,Country_x,Country_y,ISO3_Code,PopTotal
72,Eswatini,117,-26.522503,31.465866,185.0,SWZ,Swaziland,Eswatini,SWZ,1148133.0
73,Ethiopia,1554,9.145,40.489673,63.0,ETH,Ethiopia,Ethiopia,ETH,112078727.0
75,Falkland Islands,0,-51.796253,-59.523613,67.0,FLK,Falkland Islands,Falkland Islands,FLK,3372.0
76,Fiji,2,-16.578193,179.414413,66.0,FJI,Fiji,Fiji,FJI,889955.0
77,Finland,369,61.92411,25.748151,65.0,FIN,Finland,Finland,FIN,5532159.0
78,France,42960,46.227638,2.213749,68.0,FRA,France,France,FRA,65129731.0
82,Gabon,57,-0.803689,11.609444,76.0,GAB,Gabon,Gabon,GAB,2172578.0
83,Gambia,122,13.443182,-15.310139,81.0,GMB,Gambia,Gambia,GMB,2347696.0
84,Georgia,636,42.315407,43.356892,211.0,GEO,Georgia,Georgia,GEO,3996762.0
85,Germany,12276,51.165691,10.451526,52.0,DEU,Germany,Germany,DEU,83517046.0
86,Ghana,320,7.946527,-1.023194,78.0,GHA,Ghana,Ghana,GHA,30417857.0
87,Gibraltar,1,36.137741,-5.345374,79.0,GIB,Gibraltar,Gibraltar,GIB,33705.0
88,Greece,959,39.074208,21.824312,84.0,GRC,Greece,Greece,GRC,10473452.0
90,Grenada,0,12.262776,-61.604171,85.0,GRD,Grenada,Grenada,GRD,112002.0
92,Guam,5,13.444304,144.793731,87.0,GUM,Guam,Guam,GUM,167295.0
93,Guatemala,3858,15.783471,-90.230759,86.0,GTM,Guatemala,Guatemala,GTM,17581476.0
95,Guinea,74,9.945587,-9.696645,80.0,GIN,Guinea,Guinea,GIN,12771246.0
96,Guinea-Bissau,43,11.803749,-15.180413,82.0,GNB,Guinea-Bissau,Guinea-Bissau,GNB,1920917.0
97,Guyana,138,4.860416,-58.93018,88.0,GUY,Guyana,Guyana,GUY,782775.0
98,Haiti,232,18.971187,-72.285215,91.0,HTI,Haiti,Haiti,HTI,11263079.0
100,Honduras,2804,15.199999,-86.241905,90.0,HND,Honduras,Honduras,HND,9746115.0
101,Hong Kong,108,22.396428,114.109497,89.0,HKG,Hong Kong,Hong Kong,HKG,7436156.0
102,Hungary,2883,47.162494,19.503304,92.0,HUN,Hungary,Hungary,HUN,9684680.0
103,Iceland,25,64.963051,-19.020835,99.0,ISL,Iceland,Iceland,ISL,339037.0
104,India,128722,20.593684,78.96288,94.0,IND,India,India,IND,1366417756.0
105,Indonesia,15037,-0.789275,113.921327,93.0,IDN,Indonesia,Indonesia,IDN,270625567.0
106,Iran,40582,32.427908,53.688046,97.0,IRN,Iran,Iran,IRN,82913893.0
